Achitecture,Base Clock,Base Power,Gen,IGPU Frequency,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
10,2.1,35,9,1000,Q2'21,https://www.intel.com/content/www/us/en/products/sku/213801/intel-core-i911900h-processor-24m-cache-up-to-4-80-ghz/specifications.html,4.9,45,,4,i9-11900H,11th Generation Intel® Core™ i9 Processors,24,8,16.0
7,0.9,15,5,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236796/intel-core-5-processor-120u-12m-cache-up-to-5-00-ghz/specifications.html,5.0,55,,5,120U,Intel® Core™ processors (Series 1),12,10,12.0
14,0.6,9,7,1000,Q1'15,https://www.intel.com/content/www/us/en/products/sku/84995/intel-core-i75650u-processor-4m-cache-up-to-3-20-ghz/specifications.html,3.1,15,,3,i7-5650U,5th Generation Intel® Core™ i7 Processors,4,2,4.0
14,2.5,0,9,1000,Q1'21,https://www.intel.com/content/www/us/en/products/sku/212252/intel-core-i911900-processor-16m-cache-up-to-5-20-ghz/specifications.html,5.2,0,,4,i9-11900,11th Generation Intel® Core™ i9 Processors,16,8,16.0
14,2.3,0,3,1000,Q2'18,https://www.intel.com/content/www/us/en/products/sku/122590/intel-core-i37020u-processor-3m-cache-2-30-ghz/specifications.html,2.3,0,,4,i3-7020U,7th Generation Intel® Core™ i3 Processors,3,2,4.0
7,1.5,65,9,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236793/intel-core-i9-processor-14900-36m-cache-up-to-5-80-ghz/specifications.html,5.4,219,,5,i9-14900,Intel® Core™ i9 Processors (14th gen),36,24,32.0
0,0.8,15,5,1000,Q4'23,https://www.intel.com/content/www/us/en/products/sku/237330/intel-core-ultra-5-processor-125u-12m-cache-up-to-4-30-ghz/specifications.html,4.3,57,,5,125U,Intel® Core™ Ultra processors (Series 1),12,12,14.0
22,2.0,0,7,1000,Q3'13,https://www.intel.com/content/www/us/en/products/sku/76087/intel-core-i74750hq-processor-6m-cache-up-to-3-20-ghz/specifications.html,3.2,0,,3,i7-4750HQ,4th Generation Intel® Core™ i7 Processors,6,4,8.0
10,1.9,35,3,1000,Q3'21,https://www.intel.com/content/www/us/en/products/sku/217371/intel-core-i311100he-processor-8m-cache-up-to-4-40-ghz/specifications.html,4.4,45,,4,i3-11100HE,11th Generation Intel® Core™ i3 Processors,8,4,8.0
14,3.3,0,7,1000,Q2'15,https://www.intel.com/content/www/us/en/products/sku/87718/intel-core-i75775r-processor-6m-cache-up-to-3-80-ghz/specifications.html,3.8,0,,3,i7-5775R,5th Generation Intel® Core™ i7 Processors,6,4,8.0
