Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,Base Power,Max Power,CPU Gen,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
17490000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,16,4,5.0,512,1,,0.0,1,0,0,0,14.0,90,11,24.0,2880,1800
17490000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
45990000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,36.0,1920,1200
23590000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,8,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
16990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,64,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,24.0,1920,1200
15990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,12.0,1920,1080
13990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,256,1,,0.0,1,0,0,0,14.0,60,11,24.0,1920,1080
17990000,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,45,95,5,32,4,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,12.0,1920,1080
17490000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,1920,1080
17490000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
11190000,i3-1315U,7,6.0,8.0,10,4.5,4.5,1,15,55,3,8,4,5.0,256,1,,0.0,1,0,0,0,14.0,60,11,24.0,1920,1080
17290000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,64,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,1920,1200
