Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
21490000,i5-12450H,7,8.0,12.0,4.4,4.4,64,4,4.0,512,1,0.0,3,15.6,144,11,12.0,1920,1080
10290000,i3-1215U,7,6.0,8.0,4.4,4.4,8,4,4.0,256,1,0.0,3,14.0,60,11,12.0,1920,1080
35990000,i7-1355U,7,10.0,12.0,5.0,5.0,16,5,4.0,512,1,0.0,3,14.0,60,11,36.0,2240,1400
18990000,i7-1255U,7,10.0,12.0,4.7,4.7,32,4,4.0,512,1,0.0,1,14.0,60,11,24.0,1920,1080
10390000,i3-1215U,7,6.0,8.0,4.4,4.4,8,4,4.0,256,1,0.0,1,15.6,60,11,12.0,1920,1080
32900000,i5-11500H,10,6.0,12.0,2.4,4.6,16,4,4.0,512,1,0.0,1,15.6,60,10,12.0,1920,1080
69990000,i9-13900H,7,14.0,20.0,5.4,5.4,64,5,4.0,2048,1,12.0,1,16.0,60,11,24.0,3840,2400
25990000,i7-1360P,7,12.0,16.0,5.0,5.0,64,4,4.0,512,1,0.0,3,14.0,60,10,24.0,1920,1080
8990000,i3-1215U,7,6.0,8.0,4.4,4.4,32,4,4.0,512,1,0.0,2,15.6,60,11,12.0,1920,1080
13990000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,0,15.0,60,11,24.0,1920,1080
75690000,155H,7,16.0,22.0,0.9,4.8,64,5,4.0,1024,1,0.0,1,14.5,60,11,12.0,3200,2000
18190000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
57990000,Ryzen 9 8945HS,4,8.0,16.0,4.0,5.2,32,5,5.0,1024,1,8.0,3,14.0,120,11,24.0,2880,1800
16490000,i5-13420H,7,8.0,12.0,4.6,4.6,32,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
30390000,Ryzen 7 7735HS,6,8.0,16.0,3.2,4.75,24,5,5.0,512,1,0.0,3,14.0,144,11,24.0,1920,1200
