Price,Link,CPU Name,RAM,Memory Type,Storage,Storage Type,GPU Name,GPU VRAM,PSU,Cooler,OS,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,Max DDR Support,Base Clock,Max Clock,IGPU Clock
7399000,https://hacom.vn/may-tinh-intel-nuc-11-nuc11pah-i3-1115g4-rnuc11pahi30z00,i3-1115G4,,DDR4,,,,,,Fan,0,10,2.0,4.0,6,4.0,1.7,4.1,1000
22799000,https://hacom.vn/pc-hacom-cad-c123-i7-14700f-b760-16gb-ram-500gb-ssd-t400-4gb-550w,i7-14700,16GB,DDR5,500GB,SSD,520,4.0,550W,Liquid,0,7,20.0,28.0,33,5.0,1.5,5.3,1000
10499000,https://hacom.vn/pc-hp-prodesk-400-g9-mt-i3-12100-8gb-ram-256gssd-wl-bt-k-m-win-11-72k97pa,i3-12100,8GB,DDR4,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.3,4.3,1000
0,https://hacom.vn/pc-hp-pro-tower-400-g9-i7-13700-8gb-ram-256g-ssd-wl-bt-k-m-win11-9h1t6pt,i7-13700,8GB,DDR4,256GB,SSD,,,,Fan,11,7,16.0,24.0,30,5.0,1.5,5.1,1000
17999000,https://hacom.vn/pc-hp-280-pro-g9-sff-9h1s9pt-i7-13700-8gb-ram-512gb-ssd-wl-bt-k-m-win-11,i7-13700,8GB,DDR4,512GB,HDD,,,180 W,Fan,11,7,16.0,24.0,30,5.0,1.5,5.1,1000
45299000,https://hacom.vn/hacom-apollo-i7-13700k-rtx-4070,i7-13700,16GB,DDR4,500GB,SSD,4070,12.0,750W,Liquid,0,7,16.0,24.0,30,5.0,1.5,5.1,1000
17999000,https://hacom.vn/pc-mini-msi-cubi-5-i5-1235u-8gb-ram-512gb-ssd-wl-bt-win-11-pro-den-12m-080vn-b51235u8gs51x11pa,i5-1235U,8GB,DDR4,512GB,HDD,,,,Fan,11,7,10.0,12.0,12,5.0,4.4,4.4,1000
19999000,https://hacom.vn/pc-hp-pavilion-tp01-3017d-6k7h2pa-hang-thanh-ly,i7-12700F,8GB,DDR4,512GB,SSD,1650 Super,4.0,,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,0
11999000,https://hacom.vn/pc-hp-280-pro-g9-sff-i5-12500-4gb-ram-256gssd-wl-bt-k-m-win-11-72k91pa,i5-12500,4GB,DDR4,256GB,HDD,,,180 W,Fan,11,7,6.0,12.0,18,5.0,4.6,4.6,1000
19999000,https://hacom.vn/pc-hp-elite-mini-800-g9-9h090pt-i7-13700-8gb-ram-512gb-ssd-wl-bt-k-m-win11,i7-13700,8GB,DDR5,512GB,SSD,,,,Fan,11,7,16.0,24.0,30,5.0,1.5,5.1,1000
17099000,https://hacom.vn/pc-hp-s01-pf3009d-8c5s5pa-i7-13700-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-den,i7-13700,8GB,DDR4,256GB,SSD,,,180W,Fan,11,7,16.0,24.0,30,5.0,1.5,5.1,1000
25599000,https://hacom.vn/may-tram-asus-e500g9-12700026z-i7-12700-16gb-ram-1tb-hdd-w680-300w-dvd-rw-kb-m-90sf02f1-m00580,i7-12700,16GB,DDR5,1TB,HDD,,,300W,Fan,0,7,12.0,20.0,25,5.0,1.6,4.8,1000
27499000,https://hacom.vn/pc-msi-creator-p50-11si-058xvn,i5-11400,16GB,DDR4,512GB,SSD,1660 Super,6.0,330W,Fan,0,14,6.0,12.0,12,4.0,2.6,4.4,1000
12899000,https://hacom.vn/bo-mini-pc-asus-intel-nuc13-pro-tall-nuc13anhi5-i5-1340p-2xddr4-3200-3xnvme-sata-2x-hdmi-2.1-2x-dp-1.4a-vesa-mount-90ab3anh-mr6160,i5-1340P,64GB,DDR4,256GB,HDD,,,35W,Fan,10,7,12.0,16.0,12,5.0,4.6,4.6,1000
9999000,https://hacom.vn/pc-asus-s500sd-312100037w-i3-12100-8gb-ram-256gb-ssd-wl-bt-k-m-win-11,i3-12100,8GB,,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.3,4.3,1000
35499000,https://hacom.vn/workstation-dell-precision-3660-tower-i7-13700-16gb-ram-2-8gb-256gb-ssd-1tb-hdd-t400-4gb-300w-key-mouse-ubuntu,i7-13700,16GB,,256GB,HDD,,,300W,Fan,0,7,16.0,24.0,30,5.0,1.5,5.1,1000
20899000,https://hacom.vn/pc-dell-vostro-3020t-i7-13700-8gb-ram-512gb-ssd-wl-bt-k-m-win11-6fm7x22,i7-13700,8GB,DDR4,512GB,SSD,,,180W,Fan,11,7,16.0,24.0,30,5.0,1.5,5.1,1000
7799000,https://hacom.vn/pc-hacom-business-mini-p47-i3-10105-h510-8gb-ram-256gb-ssd,i3-10105,8GB,DDR4,256GB,SSD,630,4.0,,Fan,0,14,4.0,8.0,6,4.0,3.7,4.4,1000
17399000,https://hacom.vn/pc-hp-all-in-one-proone-240-g9-i5-1235u-8gb-ram-512gb-ssd-23.8-inch-fhd-wl-bt-k-m-win-11-6m3v2pa,i5-1235U,8GB,DDR4,512GB,SSD,,,,Fan,11,7,10.0,12.0,12,5.0,4.4,4.4,1000
20499000,https://hacom.vn/hacom-sniper-i5-13400f-rtx-3050-1,i5-13400,16GB,DDR4,500GB,SSD,,,600W,Fan,0,7,10.0,16.0,20,5.0,1.8,4.6,1000
16699000,https://hacom.vn/pc-asus-all-in-one-a3202wbak-wa019w-i5-1235u-8gb-ram-512gb-ssd-21.5-inch-full-hd-wl-bt-k-m-win-11-trang,i5-1235U,8GB,,512GB,SSD,,,,Fan,11,7,10.0,12.0,12,5.0,4.4,4.4,1000
25299000,https://hacom.vn/pc-dell-inspiron-all-in-one-5420-i5-1335u16gb-ram-512g-ssd-23.8-inch-fhd-touch-camera-bt-kb-m-win11-office-den-fnrj15,i5-1335U,8GB,DDR4,512GB,SSD,,,,Fan,11,7,10.0,12.0,12,5.0,4.6,4.6,1000
46999000,https://hacom.vn/workstation-dell-precision-3660-tower-i9-12900-16gb-2x8gb-ram-1tb-ssd-dvdrw-t400-4gb-k-m-42pt3660d14,i9-12900,16GB,,1TB,HDD,,,,Fan,0,7,16.0,24.0,30,5.0,1.8,5.0,1000
7999000,https://hacom.vn/pc-mini-msi-cubi-b183-i5-10120u-barebone-wl-bt-no-os-cubi510m-091bvn-b51021uxx,i5-10210U,,,,,,,,Fan,0,14,4.0,8.0,6,4.0,0.8,4.2,1000
43299000,https://hacom.vn/workstation-dell-precision-3660-tower-i9-12900-16gb-2x8gb-ram-256-ssd-nvme-1tb-hdd-dvdrw-nvidia-t400-4gb-k-m-42pt3660d18,i9-12900,16GB,,1TB,HDD,,,,Fan,0,7,16.0,24.0,30,5.0,1.8,5.0,1000
13299000,https://hacom.vn/pc-hp-pavilion-tp01-4010d-8c5t2pa-i5-13400-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-trang,i5-13400,8GB,DDR4,256GB,SSD,,,,Fan,11,7,10.0,16.0,20,5.0,1.8,4.6,1000
